OBJECTID,NAME,DESCRIPTION,COMMENTS,GLOBALID,CREATED_DA,LAST_EDI_1,SHAPE_AREA,SHAPE_LEN
1607,DOG EXERCISE AREAS,RIESENWEBER PARK,JACOBS WELL,{90862136-DB4F-483D-921D-C4EC890B0BA7},5/08/2014,18/08/2014,1167.005388,138.7347264
79,DOG EXERCISE AREAS,KURRAWONG PARK,,{EEE8E3AE-C60F-45B1-858A-4947B9D1F209},,,2160.71121,223.0035503
84,DOG EXERCISE AREAS,LILLI PILLI PARK,,{96C144BF-FE9D-41B8-9352-F4183A8EC961},,,9194.42477,451.4572568
87,DOG EXERCISE AREAS,MAIDENWELL PARK,,{93C7C235-C7BF-487B-9749-4139BDC63BD8},,,1240.411212,143.6727068
89,DOG EXERCISE AREAS,MARKERI PARK,,{2C379105-DE0F-435E-8552-174636A48A96},,,29465.02872,1075.486753
90,DOG EXERCISE AREAS,MARTIN SHEILS PARK,,{81B1DB2F-1A45-4F27-8A97-81BE497CA77A},,,2078.415342,211.1197565
91,DOG EXERCISE AREAS,MATRON & SISTER HIGMAN PARK,,{6AC124D0-62F2-4D10-B7B3-716C73F1769E},,,12335.37694,720.6692697
93,DOG EXERCISE AREAS,MERINDA PARK,,{B8B23643-3F10-40AB-92C0-43C9D0572DCA},,,3820.388366,267.3718994
94,DOG EXERCISE AREAS,MOANA PARK,,{65285736-E0CB-425F-8C29-915154D75E23},,,29361.48303,737.3219288
1923,DOG EXERCISE AREAS,PIONEER DOWNS PARK,WORONGARY,{D8931450-BA23-4A6B-94AB-E49A13A1EDA3},5/08/2014,18/08/2014,55814.29838,1246.651218
63,DOG EXERCISE AREAS,HARRY BOND PARK,REGATTA PARADE SOUTHPORT BEACHFRONT AREA ONLY,{C29D2C08-0EF9-4313-A1C0-AA20D0EC8B78},,18/08/2014,8801.244554,662.7854367
107,DOG EXERCISE AREAS,DOUG JENNINGS PARK,SEAWORLD DRIVE SURFERS PARADISE,{2715215E-E3F6-4756-89BE-32115AB026DE},,18/08/2014,224197.5257,4342.29561
